"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 07 10:10:28 CST 2020","Tue Jul 07 10:10:43 CST 2020","15622","test_case","test_case","MyTestCase","","","test_screen_rmcs_gz","机场航司筛选工具-热门城市推荐-广州-查看详情"
"passed","Tue Jul 07 10:12:27 CST 2020","Tue Jul 07 10:12:37 CST 2020","9580","test_case","test_case","MyTestCase","","","test_screen_see_hs","机场航司筛选工具-查看所有航司"
"passed","Tue Jul 07 10:08:55 CST 2020","Tue Jul 07 10:09:08 CST 2020","13694","test_case","test_case","MyTestCase","","","test_screen_jc","机场航司筛选工具-机场筛选"
"passed","Tue Jul 07 10:09:08 CST 2020","Tue Jul 07 10:09:24 CST 2020","15751","test_case","test_case","MyTestCase","","","test_screen_rm_bjsd","机场航司筛选工具-热门机场推荐-北京首都-查看详情"
"passed","Tue Jul 07 10:09:24 CST 2020","Tue Jul 07 10:09:41 CST 2020","16614","test_case","test_case","MyTestCase","","","test_screen_rm_gzby","机场航司筛选工具-热门机场推荐-广州白云-查看详情"
"passed","Tue Jul 07 10:12:17 CST 2020","Tue Jul 07 10:12:27 CST 2020","9662","test_case","test_case","MyTestCase","","","test_screen_see_cs","机场航司筛选工具-查看所有城市"
"passed","Tue Jul 07 10:11:30 CST 2020","Tue Jul 07 10:11:46 CST 2020","15626","test_case","test_case","MyTestCase","","","test_screen_rmhs_hnhk","机场航司筛选工具-热门航司推荐-海南航空-查看详情"
"passed","Tue Jul 07 10:12:02 CST 2020","Tue Jul 07 10:12:17 CST 2020","15639","test_case","test_case","MyTestCase","","","test_screen_rmhs_zghk","机场航司筛选工具-热门航司推荐-中国航空-查看详情"
"passed","Tue Jul 07 10:09:56 CST 2020","Tue Jul 07 10:10:12 CST 2020","15657","test_case","test_case","MyTestCase","","","test_screen_rm_szba","机场航司筛选工具-热门机场推荐-深圳宝安-查看详情"
"passed","Tue Jul 07 10:10:12 CST 2020","Tue Jul 07 10:10:28 CST 2020","15653","test_case","test_case","MyTestCase","","","test_screen_rmcs_bj","机场航司筛选工具-热门城市推荐-北京-查看详情"
"failed","Tue Jul 07 10:08:39 CST 2020","Tue Jul 07 10:08:55 CST 2020","15970","test_case","test_case","MyTestCase","","","test_screen_hs","机场航司筛选工具-航司筛选"
"passed","Tue Jul 07 10:08:38 CST 2020","Tue Jul 07 10:08:39 CST 2020","1059","test_case","test_case","MyTestCase","","","test_chack_login","登录"
"passed","Tue Jul 07 10:12:37 CST 2020","Tue Jul 07 10:12:46 CST 2020","9571","test_case","test_case","MyTestCase","","","test_screen_see_jc","机场航司筛选工具-查看所有机场"
"failed","Tue Jul 07 10:12:46 CST 2020","Tue Jul 07 10:13:02 CST 2020","15976","test_case","test_case","MyTestCase","","","test_sereen_caty",""
"passed","Tue Jul 07 10:10:59 CST 2020","Tue Jul 07 10:11:15 CST 2020","15730","test_case","test_case","MyTestCase","","","test_screen_rmcs_sz","机场航司筛选工具-热门城市推荐-深圳-查看详情"
"passed","Tue Jul 07 10:11:15 CST 2020","Tue Jul 07 10:11:30 CST 2020","15657","test_case","test_case","MyTestCase","","","test_screen_rmhs_dfhk","机场航司筛选工具-热门航司推荐-东方航空-查看详情"
"passed","Tue Jul 07 10:09:41 CST 2020","Tue Jul 07 10:09:56 CST 2020","15677","test_case","test_case","MyTestCase","","","test_screen_rm_shpd","机场航司筛选工具-热门机场推荐-上海浦东-查看详情"
"passed","Tue Jul 07 10:10:43 CST 2020","Tue Jul 07 10:10:59 CST 2020","15631","test_case","test_case","MyTestCase","","","test_screen_rmcs_sh","机场航司筛选工具-热门城市推荐-上海-查看详情"
"passed","Tue Jul 07 10:11:46 CST 2020","Tue Jul 07 10:12:02 CST 2020","15614","test_case","test_case","MyTestCase","","","test_screen_rmhs_nfhk","机场航司筛选工具-热门航司推荐-南方航空-查看详情"
